dataset initializing start
dataset initializing done
The model has 103,581,959 trainable parameters
	Train Loss: 6.427 | Train PPL: 618.377
	Val Loss: 6.312 |  Val PPL: 551.088
	BLEU Score: 0.000
step : 0.0 % , loss : 6.669238567352295
step : 1.2 % , loss : 6.2952446937561035
step : 2.4 % , loss : 6.322504997253418
step : 3.6 % , loss : 6.2310075759887695
step : 4.81 % , loss : 6.3449907302856445
step : 6.01 % , loss : 6.4633355140686035
step : 7.21 % , loss : 6.558916091918945
step : 8.41 % , loss : 6.161744594573975
step : 9.61 % , loss : 6.510441303253174
step : 10.81 % , loss : 6.452944755554199
step : 12.01 % , loss : 6.564472675323486
step : 13.22 % , loss : 6.5173797607421875
step : 14.42 % , loss : 6.572373867034912
step : 15.62 % , loss : 6.059467792510986
step : 16.82 % , loss : 6.730905532836914
step : 18.02 % , loss : 6.375278472900391
step : 19.22 % , loss : 6.591256141662598
step : 20.43 % , loss : 6.424968242645264
step : 21.63 % , loss : 6.178382396697998
step : 22.83 % , loss : 6.112025260925293
step : 24.03 % , loss : 6.096765518188477
step : 25.23 % , loss : 6.340396881103516
step : 26.43 % , loss : 6.916305065155029
step : 27.63 % , loss : 6.070719242095947
step : 28.84 % , loss : 6.445899486541748
step : 30.04 % , loss : 6.277143955230713
step : 31.24 % , loss : 6.363943099975586
step : 32.44 % , loss : 6.476907730102539
step : 33.64 % , loss : 6.365367889404297
step : 34.84 % , loss : 6.576026916503906
step : 36.04 % , loss : 6.629522800445557
step : 37.25 % , loss : 6.64246129989624
step : 38.45 % , loss : 6.391085624694824
step : 39.65 % , loss : 6.245677947998047
step : 40.85 % , loss : 6.522641181945801
step : 42.05 % , loss : 6.741859436035156
step : 43.25 % , loss : 6.248184680938721
step : 44.46 % , loss : 6.418920993804932
step : 45.66 % , loss : 6.811126232147217
step : 46.86 % , loss : 6.694004535675049
step : 48.06 % , loss : 6.56399393081665
step : 49.26 % , loss : 6.507090091705322
step : 50.46 % , loss : 6.213562965393066
step : 51.66 % , loss : 6.065930366516113
step : 52.87 % , loss : 5.931375980377197
step : 54.07 % , loss : 6.60137414932251
step : 55.27 % , loss : 6.401992321014404
step : 56.47 % , loss : 6.744852066040039
step : 57.67 % , loss : 6.3036956787109375
step : 58.87 % , loss : 6.503922462463379
step : 60.07 % , loss : 6.447509288787842
step : 61.28 % , loss : 6.468419075012207
step : 62.48 % , loss : 6.328649520874023
step : 63.68 % , loss : 6.856831073760986
step : 64.88 % , loss : 6.60486364364624
step : 66.08 % , loss : 6.182515621185303
step : 67.28 % , loss : 6.385879039764404
step : 68.48 % , loss : 6.372723579406738
step : 69.69 % , loss : 6.774098873138428
step : 70.89 % , loss : 6.5010600090026855
step : 72.09 % , loss : 6.503531455993652
step : 73.29 % , loss : 6.306302547454834
step : 74.49 % , loss : 6.873786926269531
